Area Code,State,Market,Market Size,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,ProductId,Date,Product Type,Product,Type,Year,Month,Day,Predicted_Sales
203,2,1,1,107.0,176.0,292.0,116.0,69.0,38.0,962.0,110.0,110.0,160.0,270.0,2,2010-01-04,0,4,1,2010,1,4,282.85974
203,2,1,1,75.0,135.0,225.0,90.0,60.0,29.0,1148.0,90.0,80.0,130.0,210.0,2,2010-01-07,0,4,1,2010,1,7,238.2373
203,2,1,1,122.0,195.0,325.0,130.0,73.0,42.0,1134.0,130.0,110.0,180.0,290.0,2,2010-01-11,0,4,1,2010,1,11,286.139
203,2,1,1,105.0,174.0,289.0,115.0,69.0,37.0,1166.0,110.0,100.0,160.0,260.0,2,2010-01-12,0,4,1,2010,1,12,288.411
203,2,1,1,104.0,135.0,223.0,90.0,56.0,29.0,1148.0,90.0,80.0,130.0,210.0,2,2011-01-07,0,4,1,2011,1,7,239.9048
203,2,1,1,104.0,135.0,223.0,90.0,56.0,29.0,1139.0,90.0,80.0,130.0,210.0,2,2011-01-08,0,4,1,2011,1,8,230.8611
203,2,1,1,135.0,155.0,275.0,103.0,64.0,33.0,1130.0,110.0,90.0,150.0,240.0,2,2011-01-09,0,4,1,2011,1,9,244.13464
203,2,1,1,171.0,188.0,334.0,125.0,73.0,41.0,1119.0,130.0,100.0,160.0,260.0,2,2011-01-10,0,4,1,2011,1,10,266.2672
203,2,1,1,181.0,195.0,346.0,130.0,73.0,42.0,1134.0,130.0,110.0,180.0,290.0,2,2011-01-11,0,4,1,2011,1,11,273.99664
203,2,1,1,15.0,31.0,51.0,20.0,16.0,5.0,804.0,20.0,20.0,30.0,50.0,13,2010-01-06,3,9,1,2010,1,6,49.05638
203,2,1,1,33.0,54.0,90.0,36.0,21.0,10.0,809.0,40.0,30.0,60.0,90.0,13,2010-01-11,3,9,1,2010,1,11,86.384285
203,2,1,1,17.0,28.0,47.0,19.0,15.0,5.0,811.0,20.0,20.0,30.0,50.0,13,2011-01-08,3,9,1,2011,1,8,45.58622
203,2,1,1,27.0,36.0,64.0,24.0,18.0,6.0,806.0,40.0,20.0,40.0,60.0,13,2011-01-10,3,9,1,2011,1,10,78.197655
203,2,1,1,49.0,54.0,96.0,36.0,21.0,10.0,809.0,40.0,30.0,60.0,90.0,13,2011-01-11,3,9,1,2011,1,11,86.56411
203,2,1,1,-2.0,75.0,128.0,53.0,77.0,48.0,597.0,10.0,50.0,70.0,120.0,5,2010-01-06,1,2,1,2010,1,6,130.08757
203,2,1,1,1.0,84.0,144.0,60.0,83.0,54.0,606.0,40.0,40.0,90.0,130.0,5,2010-01-10,1,2,1,2010,1,10,138.20157
203,2,1,1,2.0,86.0,147.0,61.0,84.0,55.0,613.0,10.0,60.0,80.0,140.0,5,2010-01-11,1,2,1,2010,1,11,143.8327
203,2,1,1,11.0,105.0,201.0,75.0,103.0,68.0,522.0,20.0,70.0,100.0,170.0,5,2011-01-01,1,2,1,2011,1,1,179.84964
203,2,1,1,4.0,90.0,165.0,65.0,87.0,58.0,513.0,20.0,60.0,90.0,150.0,5,2011-01-02,1,2,1,2011,1,2,163.70473
203,2,1,1,0.0,87.0,160.0,63.0,87.0,57.0,506.0,10.0,60.0,80.0,140.0,5,2011-01-03,1,2,1,2011,1,3,161.11124
203,2,1,1,0.0,87.0,160.0,63.0,87.0,57.0,521.0,10.0,60.0,80.0,140.0,5,2011-01-04,1,2,1,2011,1,4,156.78279
203,2,1,1,4.0,90.0,153.0,64.0,81.0,58.0,551.0,20.0,60.0,90.0,150.0,5,2011-01-05,1,2,1,2011,1,5,147.14816
203,2,1,1,3.0,87.0,159.0,62.0,85.0,56.0,612.0,20.0,50.0,90.0,140.0,5,2011-01-09,1,2,1,2011,1,9,124.23743
203,2,1,1,-3.0,76.0,140.0,55.0,78.0,49.0,627.0,10.0,50.0,70.0,120.0,5,2011-01-12,1,2,1,2011,1,12,136.09831
203,2,1,1,29.0,75.0,130.0,55.0,46.0,18.0,305.0,40.0,50.0,70.0,120.0,6,2010-01-02,1,6,0,2010,1,2,130.13821
203,2,1,1,22.0,65.0,113.0,48.0,43.0,15.0,334.0,40.0,40.0,70.0,110.0,6,2010-01-05,1,6,0,2010,1,5,106.78894
203,2,1,1,16.0,57.0,100.0,43.0,41.0,14.0,388.0,20.0,40.0,50.0,90.0,6,2010-01-07,1,6,0,2010,1,7,93.40065
203,2,1,1,16.0,56.0,98.0,42.0,40.0,13.0,384.0,20.0,40.0,50.0,90.0,6,2010-01-08,1,6,0,2010,1,8,95.76308
203,2,1,1,47.0,75.0,145.0,55.0,47.0,18.0,312.0,40.0,50.0,70.0,120.0,6,2011-01-01,1,6,0,2011,1,1,143.80496
203,2,1,1,39.0,71.0,132.0,53.0,45.0,17.0,299.0,40.0,50.0,70.0,120.0,6,2011-01-03,1,6,0,2011,1,3,130.73262
203,2,1,1,22.0,56.0,97.0,42.0,37.0,13.0,384.0,20.0,40.0,50.0,90.0,6,2011-01-08,1,6,0,2011,1,8,80.327095
203,2,1,1,31.0,64.0,118.0,47.0,43.0,15.0,375.0,50.0,30.0,60.0,90.0,6,2011-01-10,1,6,0,2011,1,10,102.23363
203,2,1,1,39.0,71.0,132.0,53.0,45.0,17.0,380.0,40.0,50.0,70.0,120.0,6,2011-01-11,1,6,0,2011,1,11,106.273445
203,2,1,1,31.0,65.0,121.0,49.0,44.0,16.0,392.0,40.0,40.0,70.0,110.0,6,2011-01-12,1,6,0,2011,1,12,114.39179
203,2,1,1,39.0,104.0,189.0,85.0,65.0,32.0,476.0,40.0,60.0,80.0,140.0,9,2010-01-03,2,10,0,2010,1,3,189.6139
203,2,1,1,32.0,93.0,169.0,76.0,61.0,28.0,580.0,40.0,50.0,80.0,130.0,9,2010-01-06,2,10,0,2010,1,6,168.52751
203,2,1,1,50.0,98.0,190.0,80.0,64.0,30.0,494.0,30.0,60.0,70.0,130.0,9,2011-01-04,2,10,0,2011,1,4,192.4866
203,2,1,1,36.0,83.0,160.0,67.0,59.0,25.0,599.0,20.0,50.0,60.0,110.0,9,2011-01-09,2,10,0,2011,1,9,192.69493
203,2,1,1,50.0,98.0,189.0,79.0,64.0,30.0,593.0,30.0,40.0,50.0,90.0,9,2011-01-10,2,10,0,2011,1,10,189.74266
203,2,1,1,46.0,89.0,163.0,74.0,43.0,22.0,949.0,50.0,50.0,70.0,120.0,10,2010-01-03,2,11,0,2010,1,3,163.04584
203,2,1,1,68.0,90.0,176.0,75.0,44.0,23.0,956.0,50.0,50.0,70.0,120.0,10,2011-01-02,2,11,0,2011,1,2,173.17986
203,2,1,1,52.0,80.0,147.0,68.0,39.0,21.0,998.0,40.0,50.0,60.0,110.0,10,2011-01-05,2,11,0,2011,1,5,139.99008
203,2,1,1,49.0,74.0,145.0,62.0,41.0,19.0,1059.0,40.0,40.0,60.0,100.0,10,2011-01-09,2,11,0,2011,1,9,142.89583
203,2,1,1,52.0,77.0,151.0,65.0,42.0,20.0,1053.0,50.0,30.0,50.0,80.0,10,2011-01-10,2,11,0,2011,1,10,143.45209
203,2,1,1,53.0,76.0,148.0,63.0,40.0,19.0,1075.0,40.0,40.0,60.0,100.0,10,2011-01-12,2,11,0,2011,1,12,155.57317
203,2,1,1,43.0,68.0,115.0,47.0,25.0,13.0,821.0,60.0,40.0,80.0,120.0,11,2010-01-04,3,5,1,2010,1,4,114.58866
203,2,1,1,32.0,52.0,87.0,35.0,20.0,9.0,894.0,50.0,30.0,60.0,90.0,11,2010-01-07,3,5,1,2010,1,7,100.691864
203,2,1,1,28.0,49.0,83.0,34.0,21.0,9.0,890.0,40.0,30.0,50.0,80.0,11,2010-01-08,3,5,1,2010,1,8,100.99725
203,2,1,1,41.0,64.0,108.0,44.0,23.0,12.0,886.0,50.0,40.0,70.0,110.0,11,2010-01-09,3,5,1,2010,1,9,110.98253
203,2,1,1,46.0,55.0,91.0,37.0,20.0,10.0,876.0,40.0,30.0,60.0,90.0,11,2011-01-06,3,5,1,2011,1,6,102.39784
206,18,3,1,38.0,77.0,130.0,53.0,39.0,16.0,338.0,70.0,60.0,100.0,160.0,2,2010-01-01,0,4,1,2010,1,1,140.02852
206,18,3,1,48.0,89.0,150.0,61.0,41.0,19.0,325.0,80.0,70.0,110.0,180.0,2,2010-01-03,0,4,1,2010,1,3,158.85243
206,18,3,1,56.0,99.0,167.0,68.0,43.0,21.0,438.0,110.0,90.0,140.0,230.0,2,2010-01-10,0,4,1,2010,1,10,177.19756
206,18,3,1,59.0,77.0,145.0,53.0,41.0,16.0,338.0,70.0,60.0,100.0,160.0,2,2011-01-01,0,4,1,2011,1,1,157.40033
206,18,3,1,80.0,100.0,180.0,69.0,46.0,22.0,340.0,90.0,80.0,130.0,210.0,2,2011-01-04,0,4,1,2011,1,4,178.93924
206,18,3,1,91.0,114.0,191.0,79.0,45.0,25.0,425.0,110.0,90.0,150.0,240.0,2,2011-01-06,0,4,1,2011,1,6,190.83545
206,18,3,1,15.0,128.0,220.0,92.0,113.0,83.0,541.0,60.0,110.0,160.0,270.0,3,2010-01-02,0,7,0,2010,1,2,229.143
206,18,3,1,16.0,132.0,227.0,95.0,116.0,86.0,532.0,70.0,110.0,170.0,280.0,3,2010-01-03,0,7,0,2010,1,3,232.90604
206,18,3,1,17.0,132.0,227.0,95.0,115.0,86.0,554.0,70.0,110.0,170.0,280.0,3,2010-01-04,0,7,0,2010,1,4,234.8478
206,18,3,1,24.0,154.0,264.0,110.0,130.0,100.0,665.0,90.0,130.0,200.0,330.0,3,2010-01-06,0,7,0,2010,1,6,257.30377
206,18,3,1,34.0,184.0,317.0,133.0,150.0,120.0,705.0,100.0,160.0,230.0,390.0,3,2010-01-08,0,7,0,2010,1,8,270.5028
206,18,3,1,24.0,132.0,242.0,95.0,116.0,86.0,532.0,70.0,110.0,170.0,280.0,3,2011-01-03,0,7,0,2011,1,3,239.77876
206,18,3,1,33.0,154.0,262.0,110.0,121.0,100.0,665.0,90.0,130.0,200.0,330.0,3,2011-01-06,0,7,0,2011,1,6,253.99174
206,18,3,1,43.0,173.0,294.0,124.0,132.0,112.0,717.0,100.0,150.0,220.0,370.0,3,2011-01-07,0,7,0,2011,1,7,269.84082
206,18,3,1,24.0,130.0,238.0,93.0,114.0,84.0,692.0,60.0,110.0,160.0,270.0,3,2011-01-09,0,7,0,2011,1,9,240.52628
206,18,3,1,25.0,134.0,245.0,96.0,117.0,87.0,683.0,100.0,140.0,190.0,330.0,3,2011-01-10,0,7,0,2011,1,10,235.11758
206,18,3,1,30.0,145.0,266.0,105.0,125.0,95.0,716.0,50.0,120.0,170.0,290.0,3,2011-01-12,0,7,0,2011,1,12,230.76334
206,18,3,1,0.0,87.0,150.0,63.0,87.0,57.0,506.0,10.0,40.0,60.0,100.0,13,2010-01-03,3,9,1,2010,1,3,151.03781
206,18,3,1,-8.0,61.0,105.0,44.0,69.0,39.0,617.0,10.0,20.0,50.0,70.0,13,2010-01-08,3,9,1,2010,1,8,114.87492
206,18,3,1,0.0,84.0,144.0,60.0,84.0,54.0,606.0,10.0,20.0,40.0,60.0,13,2010-01-10,3,9,1,2010,1,10,130.6708
206,18,3,1,1.0,86.0,147.0,61.0,85.0,55.0,613.0,0.0,40.0,60.0,100.0,13,2010-01-11,3,9,1,2010,1,11,134.37402
206,18,3,1,0.0,87.0,160.0,63.0,87.0,57.0,521.0,10.0,40.0,60.0,100.0,13,2011-01-04,3,9,1,2011,1,4,151.61026
206,18,3,1,3.0,90.0,153.0,64.0,82.0,58.0,551.0,10.0,40.0,60.0,100.0,13,2011-01-05,3,9,1,2011,1,5,138.1984
206,18,3,1,3.0,87.0,159.0,62.0,85.0,56.0,612.0,10.0,40.0,60.0,100.0,13,2011-01-09,3,9,1,2011,1,9,130.48994
206,18,3,1,0.0,84.0,153.0,60.0,84.0,54.0,606.0,10.0,20.0,40.0,60.0,13,2011-01-10,3,9,1,2011,1,10,131.1832
206,18,3,1,16.0,72.0,130.0,58.0,56.0,22.0,338.0,20.0,50.0,70.0,120.0,5,2010-01-05,1,2,1,2010,1,5,132.59915
206,18,3,1,18.0,74.0,133.0,59.0,56.0,22.0,403.0,20.0,50.0,70.0,120.0,5,2010-01-07,1,2,1,2010,1,7,141.04173
206,18,3,1,20.0,66.0,134.0,54.0,56.0,20.0,312.0,20.0,50.0,60.0,110.0,5,2011-01-01,1,2,1,2011,1,1,139.4405
206,18,3,1,18.0,65.0,126.0,53.0,53.0,20.0,306.0,20.0,50.0,60.0,110.0,5,2011-01-02,1,2,1,2011,1,2,140.67912
206,18,3,1,22.0,70.0,135.0,57.0,55.0,21.0,313.0,30.0,50.0,70.0,120.0,5,2011-01-04,1,2,1,2011,1,4,140.23193
206,18,3,1,19.0,67.0,129.0,54.0,54.0,20.0,391.0,20.0,50.0,60.0,110.0,5,2011-01-11,1,2,1,2011,1,11,141.79553
206,18,3,1,39.0,81.0,150.0,69.0,42.0,21.0,965.0,60.0,60.0,80.0,140.0,6,2010-01-01,1,6,0,2010,1,1,161.48215
206,18,3,1,39.0,82.0,151.0,69.0,43.0,21.0,965.0,60.0,60.0,80.0,140.0,6,2010-01-04,1,6,0,2010,1,4,167.45969
206,18,3,1,47.0,92.0,170.0,78.0,45.0,24.0,995.0,60.0,70.0,90.0,160.0,6,2010-01-05,1,6,0,2010,1,5,167.41135
